Calendar	avoikoi	avsettlements	avcoastsettl	avinlandsettl	avelevation	avtradeflow	avtradedistance	avmigrations	avecultivated	RAI
1313	184,1333333	39,22580645	20,53333333	18,76666667	489,0937822	183,4137931	106,7434316	3,851851852	2,523721561	2,928662852
1312	185,7	39,06451613	20,46666667	18,66666667	490,4627092	183,0689655	106,6682973	3,62962963	2,516661707	2,886643112
1311	185,7666667	39	20,46666667	18,6	489,1445275	184,5172414	106,947812	4,333333333	2,512098196	2,844623372
1310	186,6	38,87096774	20,4	18,5	488,4134722	184,2068966	107,9368067	4,074074074	2,507708865	2,802603632
1309	186,8333333	38,90322581	20,43333333	18,5	488,264577	185,2758621	106,7200579	4,148148148	2,507913212	2,760583892
1308	186,3	38,90322581	20,46666667	18,5	488,4507248	185,5172414	106,4301771	4,481481481	2,504772218	2,718564151
1307	186,6	38,80645161	20,43333333	18,43333333	489,2691471	184,9310345	107,3138447	4,333333333	2,497885208	2,676544411
1306	186,6	38,77419355	20,4	18,43333333	489,9663907	185,2413793	106,5181129	4,185185185	2,494427457	2,592504931
1305	185,4666667	38,64516129	20,26666667	18,43333333	491,5578633	185,3448276	106,0597419	3,518518519	2,493526519	2,550485191
1304	185,1666667	38,4516129	20,06666667	18,43333333	492,4704365	183,5862069	105,8060663	4	2,486463365	2,466445711
1303	186,7	38,4516129	20,03333333	18,46666667	491,7441897	183,3448276	105,5317625	4,111111111	2,477957612	2,382406231
1302	186,3333333	38,4516129	20	18,46666667	492,1372736	184,7586207	106,6959393	5,074074074	2,474995406	2,340386491
1301	186,0666667	38,41935484	19,96666667	18,46666667	492,3336205	184,1034483	107,0121011	4,444444444	2,474766753	2,29836675
1300	186,1666667	38,41935484	19,96666667	18,46666667	491,9693029	184,2758621	106,5800681	3,925925926	2,468816849	2,21432727
1299	186,0333333	38,35483871	19,9	18,46666667	492,90244	184,3103448	106,4994683	4,888888889	2,471160186	2,08826805
1298	184,4666667	38,38709677	20	18,4	491,8398143	183,5517241	107,396584	4,518518519	2,475190111	1,92018909
1297	184,3333333	38,32258065	19,96666667	18,33333333	490,8670906	183,1034483	107,2996636	4,740740741	2,480115241	1,794129869
1296	183,7666667	38,38709677	20,06666667	18,3	491,6621553	182,3448276	107,1752419	4,555555556	2,481828124	1,710090389
1295	183,6333333	38,4516129	20,16666667	18,26666667	491,6624567	181,4827586	106,6211883	4,740740741	2,482929964	1,584031169
1294	183,1666667	38,41935484	20,1	18,3	492,2466037	181,4137931	106,4312527	5,074074074	2,483239365	1,499991688
1293	183,3666667	38,41935484	20,1	18,3	492,6168773	181,2068966	105,8009028	4,851851852	2,484672788	1,415952208
1292	182,6	38,38709677	20,06666667	18,3	493,3412507	180,6896552	105,7424817	5,37037037	2,488094706	1,247873248
1291	182,8666667	38,22580645	20	18,2	491,8559193	180,2413793	108,7053431	5,703703704	2,495685235	1,121814028
1290	181,6666667	38,29032258	20,06666667	18,2	493,003308	180	105,8661747	6,296296296	2,505971109	0,869695587
1289	182,1666667	38,19354839	19,93333333	18,23333333	494,1852969	178,2413793	106,8266405	5,333333333	2,507621073	0,785656107
1288	182,4333333	38,22580645	19,93333333	18,26666667	494,4272889	178,5862069	107,6424192	5,962962963	2,512134718	0,659596886
1287	181,5333333	38,06451613	19,83333333	18,2	494,410368	178,6206897	106,2103509	6,407407407	2,518940146	0,575557406
1286	181,6	38,06451613	19,76666667	18,26666667	493,7562867	177,2068966	107,8199734	5,481481481	2,518600203	0,491517926
1285	179,9666667	38,03225806	19,83333333	18,16666667	492,650401	177,2758621	109,0536771	6,037037037	2,528989808	0,407478446
1284	179,1	38,06451613	19,83333333	18,2	493,3048925	175,6206897	106,6608998	6,074074074	2,534793096	0,323438966
1283	178,6	38,12903226	19,83333333	18,26666667	493,805833	174,8275862	107,6086959	5,555555556	2,539004191	0,239399485
1282	176,8	38	19,73333333	18,23333333	495,734917	174,2413793	105,5973276	6,037037037	2,549519059	0,197379745
